Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A122,11362510360675418,12/1/20,20003134,Q,1,A122,98.94,67.75,14.84,46.54,8.98,6.37,,,
A123,11142134441553803,12/1/20,20024611,J,1,A123,276.13,280.98,29.09,237.28,14.61,14.61,,,
A124,11297057520482603,12/1/20,20024630,C,1,A124,100.65,102.67,15.1,70.09,17.48,17.48,,,
A125,11359219186245069,12/1/20,20003131,Q,1,A125,22.08,21.72,3.31,10.2,8.98,8.21,,,
A126,11195248662385014,12/1/20,0015-11-,G,1,A126,237.54,242.29,14.25,215.05,12.99,12.99,,,
A127,11235977838068263,12/1/20,20024632,L,12,A127,36.78,36.65,5.52,22.38,8.75,8.75,,,
A128,11497303551849819,12/1/20,20003134,Q,1,A128,98.94,67.75,14.84,46.54,8.98,6.37,,,
A129,11258463630115461,12/1/20,20003137,Q,1,A129,98.94,67.75,14.84,46.54,8.98,6.37,,,
A130,11372029140102655,12/1/20,20024643,L,2,A130,44.2,37.78,6.64,23.64,7.5,7.5,,,
A131,11126447563576251,12/1/20,20024667,L,12,A131,43.62,44.49,6.54,27.96,9.99,9.99,,,
A132,11172379051403454,12/1/20,20024644,C,1,A132,24.97,24.84,3.75,9.11,11.98,11.98,,,
A133,11205455633473804,12/1/20,20003138,Q,1,A133,98.94,69.32,14.84,46.54,8.93,7.94,,,
A134,11296419051917014,12/1/20,20003138,Q,1,A134,98.94,67.75,14.84,46.54,8.51,6.37,,,
A135,11408208586501066,12/1/20,20003138,O,1,A135,19.68,18.32,2.95,6.39,8.98,8.98,,,
A136,11448045691649042,12/1/20,20024666,L,6,A136,38.5,38.69,5.78,22.92,9.99,9.99,,,
A137,11145072481155438,12/1/20,20024645,C,1,A137,32.2,31.95,4.83,17.52,9.6,9.6,,,
A138,11280225695726611,12/1/20,20003139,Q,1,A138,49.99,39.67,7.5,24.5,8.98,7.67,,,
A139,11251888790897852,12/1/20,20024665,L,12,A139,44.13,43.06,6.62,26.45,9.99,9.99,,,
A140,11368584231443444,12/1/20,20024647,L,1,A140,50.56,48,7.58,35.67,4.75,4.75,,,
A141,11396343532066623,12/1/20,20024646,L,1,A141,12.47,11.72,1.87,5.1,4.75,4.75,,,
A142,11119940243001046,12/1/20,20024664,L,6,A142,55.94,56.92,8.39,39.78,8.75,8.75,,,
A143,11463638102721831,12/1/20,20024649,C,1,A143,22.82,23.28,3.42,8.93,10.93,10.93,,,
A144,11273272873423446,12/1/20,20003139,Q,1,A144,98.94,67.75,14.84,46.54,8.98,6.37,,,
A145,11365905192479451,12/1/20,20024648,L,1,A145,12.59,13.14,1.89,5.5,5.75,5.75,,,
A146,11445985988800257,12/1/20,20003139,P,1,A146,17.07,17,2.56,5.46,8.98,8.98,,,
A147,11224238414878608,12/1/20,20024650,L,3,A147,28.04,27.99,4.21,18.03,5.75,5.75,,,
A148,11163637711861022,12/1/20,20003195,N,1,A148,32.2,22.35,4.83,17.52,0,0,,,
A149,11269797205625826,12/1/20,20003139,Q,1,A149,98.94,67.75,14.84,46.54,8.98,6.37,,,
A150,11392456235253062,12/1/20,20003138,Q,1,A150,98.94,70.36,14.84,46.54,8.98,8.98,,,
A151,11443037324087437,12/1/20,20024633,J,1,A151,157.64,161.95,23.65,127.4,10.9,10.9,,,
A152,11238460526201844,12/1/20,20003314,P,1,A152,28.4,22.85,4.26,6.9,11.69,11.69,,,
A153,11332025637692257,12/1/20,20024663,L,48,A153,68.98,59.91,10.35,35.57,13.99,13.99,,,
A154,11105020041085013,12/1/20,20024662,L,6,A154,25.48,24.89,3.82,13.57,7.5,7.5,,,
A155,11215255962410636,12/1/20,20024661,L,6,A155,25.48,24.89,3.82,13.57,7.5,7.5,,,
A156,11361308991486629,12/1/20,20024660,L,12,A156,55.09,53.97,8.26,30.72,14.99,14.99,,,
A157,11140681896993038,12/1/20,20024659,L,1,A157,31.62,32.25,4.74,20.52,6.99,6.99,,,
A158,11130074940813041,12/1/20,20003139,Q,1,A158,98.94,68.21,14.84,46.54,8.98,6.83,,,
A159,11491447954548248,12/1/20,20024658,L,12,A159,27,28.07,4.05,14.03,9.99,9.99,,,
A160,11225588602156208,12/1/20,0273-11-,G,1,A160,139.78,142.51,11.18,119.83,11.5,11.5,,,
A161,11382136526485857,12/1/20,20024651,L,2,A161,30.22,24.54,4.53,14.26,5.75,5.75,,,
A162,11327059528664230,12/1/20,20003139,Q,1,A162,19.75,15.33,2.96,6,8.38,6.37,,,
A163,11173813757069037,12/1/20,20003135,Q,1,A163,23.78,15.94,3.57,6,8.38,6.37,,,
A164,11468988546855461,12/1/20,20024657,L,1,A164,9.12,9.05,0.73,2.57,5.75,5.75,,,
A165,11289836764321008,12/1/20,20003136,Q,5,A165,13.44,12,1.08,2.85,8.98,8.07,,,
A166,11160956948276226,12/1/20,20024639,L,3,A166,41.02,36.05,6.15,24.15,5.75,5.75,,,
A167,11438935239911457,12/1/20,0275-11-,G,1,A167,156.44,159.9,12.84,138.07,8.99,8.99,,,
A168,11332860114716229,12/1/20,20003136,Q,1,A168,19.75,16.9,2.96,6,8.14,7.94,,,
A169,11244255353993866,12/1/20,20003135,Q,1,A169,98.94,67.75,14.84,46.54,8.98,6.37,,,
A170,11132398331530623,12/1/20,20003136,N,12,A170,34.62,21.63,5.19,16.44,0,0,,,
A171,11149546726456223,12/1/20,20024640,L,1,A171,46.31,40.43,6.95,26.49,6.99,6.99,,,
A172,11366410128752250,12/1/20,20003135,O,1,A172,9.54,38.85,1.43,28.44,8.98,8.98,,,
A173,11298497749574647,12/1/20,20024637,J,6,A173,919.5,897.97,73.56,815.52,8.89,8.89,,,
A174,11400368083446600,12/1/20,20003136,Q,1,A174,98.94,69.59,14.84,46.54,8.98,8.21,,,
A175,11467815802349843,12/1/20,0274-11-,G,1,A175,157.64,170.26,23.65,134.62,11.99,11.99,,,
A176,11463572358769050,12/1/20,20003143,Q,1,A176,98.94,68.21,14.84,46.54,8.98,6.83,,,
A177,11264463910617865,12/1/20,20024641,L,1,A177,21.73,20.41,3.26,10.16,6.99,6.99,,,
A178,11232902275285835,12/1/20,20003140,Q,1,A178,23.61,21.72,3.54,9.25,10.63,8.93,,,
A179,11485449716352261,12/1/20,20003135,O,1,A179,10.94,15.05,1.66,4.41,8.98,8.98,,,
A180,11274397288461829,12/1/20,20003136,Q,1,A180,98.94,67.75,14.84,46.54,8.98,6.37,,,
A181,11447567495298652,12/1/20,20003136,Q,1,A181,17.49,10.55,2.62,1.56,8.98,6.37,,,
A182,11420147888973859,12/1/20,0276-11-,G,1,A182,139.78,142.51,11.18,119.83,11.5,11.5,,,
A183,11404032140455411,12/1/20,20003136,Q,1,A183,98.94,68.21,14.84,46.54,8.98,6.83,,,
A184,11209365341567410,12/1/20,20003137,Q,1,A184,98.94,67.75,14.84,46.54,8.98,6.37,,,
A185,11154273407973864,12/1/20,20003136,P,1,A185,16.57,17.78,2.49,6.31,8.98,8.98,,,
A186,11226651677001044,12/1/20,20003140,O,1,A186,20.43,21.56,3.06,9.52,8.98,8.98,,,
A187,11244339099661841,12/1/20,20003141,Q,1,A187,98.94,67.75,14.84,46.54,8.51,6.37,,,
A188,11375650751955442,12/1/20,0277-11-,G,1,A188,139.78,142.51,11.18,119.83,11.5,11.5,,,
A189,11137110681970609,12/1/20,20003137,Q,1,A189,18.94,19.53,2.84,10.32,8.98,6.37,,,
A190,11468524759351458,12/1/20,20024653,J,1,A190,214.87,226.18,24.19,187.38,14.61,14.61,,,
A191,11452124166712215,12/1/20,20024656,L,10,A191,39.38,37.17,5.91,23.76,7.5,7.5,,,
A192,11360965959323449,12/1/20,20024655,L,12,A192,45.22,42.82,6.78,26.54,9.5,9.5,,,
A193,11476499843515411,12/1/20,20003156,Q,1,A193,15.65,17.24,2.35,6.22,8.98,8.67,,,
A194,11312757795475414,12/1/20,20024669,L,60,A194,98.87,93.38,14.83,64.05,14.5,14.5,,,
A195,11172572873176236,12/1/20,20003141,Q,1,A195,22.4,14.53,3.36,4.8,8.98,6.37,,,
A196,11240742866488231,12/1/20,20024670,L,12,A196,24.85,24.15,3.73,13.43,6.99,6.99,,,
A197,11404697809713800,12/1/20,20003141,Q,1,A197,98.94,67.75,14.84,46.54,8.98,6.37,,,
A198,11444058144061861,12/1/20,20003141,Q,1,A198,98.94,70.31,14.84,46.54,8.93,8.93,,,
A199,11102448396645821,12/1/20,20003141,Q,2,A199,22.37,22.07,3.36,10.5,8.98,8.21,,,
A200,11460423489047415,12/1/20,20024672,L,1,A200,18.31,18.51,2.75,11.01,4.75,4.75,,,
A201,11395876800961015,12/1/20,20024642,L,1,A201,32.19,31.31,4.83,21.73,4.75,4.75,,,
A202,11221093855502605,12/1/20,20024671,L,12,A202,36.09,31.35,5.41,17.19,8.75,8.75,,,
A203,11436909349889801,12/1/20,20024674,L,6,A203,32.52,29.79,4.88,14.92,9.99,9.99,,,
