Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A140,11244004221301054,1/1/21,20036149,L,3,A140,56.97,56.85,8.55,41.31,6.99,6.99,,,
A141,11334477603243449,1/1/21,20005575,Q,1,A141,33.89,31.59,5.08,17.09,8.98,9.42,,,
A142,11278219948774654,1/1/21,20036150,L,1,A142,20.72,21.14,3.11,11.04,6.99,6.99,,,
A143,11490304314186655,1/1/21,20036147,D,1,A143,36.81,85.89,4.42,22.95,58.52,58.52,,,
A144,11370571511729019,1/1/21,20005575,Q,1,A144,33.89,28.55,5.08,17.09,8.81,6.38,,,
A145,11295758822937010,1/1/21,20036151,L,1,A145,12.86,13.01,1.93,6.33,4.75,4.75,,,
A146,11191944145409841,1/1/21,20005575,Q,2,A146,22.24,17.08,3.34,7.36,8.98,6.38,,,
A147,11353337074488253,1/1/21,20005575,Q,1,A147,94.49,67.24,14.17,46.54,8.98,6.53,,,
A148,11309873974522602,1/1/21,20005576,Q,1,A148,6.44,9.54,0.97,2.19,8.14,6.38,,,
A149,11350245288859429,1/1/21,20005576,Q,3,A149,24.27,153.18,1.95,100.08,11.34,51.15,,,
A150,11287813242942603,1/1/21,20005576,Q,1,A150,9.87,13.51,0.79,4.14,8.98,8.58,,,
A151,11404440229889068,1/1/21,20036152,L,1,A151,16.32,13.63,2.45,5.43,5.75,5.75,,,
A152,11264374672737051,1/1/21,20005576,Q,4,A152,24.87,48.07,3.73,35.36,8.98,8.98,,,
A153,11389560946411423,1/1/21,20036153,L,1,A153,11.09,9.97,1.66,3.56,4.75,4.75,,,
A154,11287225770907411,1/1/21,20036154,L,12,A154,48.57,45.5,7.29,28.22,9.99,9.99,,,
A155,11413670995045062,1/1/21,20036155,L,1,A155,28.86,29.45,4.33,18.13,6.99,6.99,,,
A156,11205538161833820,1/1/21,20005577,O,1,A156,10.3,13.98,1.55,3.45,8.98,8.98,,,
