Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,,,
A148,11472874070447453,11/30/20,20024560,L,1,A148,50.62,48.01,7.59,35.67,4.75,4.75,,,
A149,11301182545088208,11/7/20,20015759,L,1,A149,9.93,10.08,0.79,3.54,5.75,5.75,,,
A150,11252293627281023,11/30/20,20024384,L,1,A150,32.38,29.96,4.86,19.35,5.75,5.75,,,
A151,11130158578648251,11/17/20,20018447,L,12,A151,53.8,52.95,8.07,36.13,8.75,8.75,,,
A152,11455413908161868,11/7/20,20015999,L,5,A152,38.69,38.29,5.8,25.5,6.99,6.99,,,
A153,11217763725132244,11/7/20,20015955,H,18,A153,48.93,49.06,7.35,32.22,7.99,7.99,,,
A154,11373371791413863,11/21/20,20019852,L,3,A154,26.47,26.26,3.97,15.3,6.99,6.99,,,
A155,11447493998764240,11/9/20,20016533,L,2,A155,20.79,21.11,3.12,12.24,5.75,5.75,,,
A156,11344537380721000,11/16/20,20017998,L,3,A156,28.07,26.5,4.21,15.3,6.99,6.99,,,
A157,11339574734518623,11/27/20,20022885,L,4,A157,39.22,33.27,5.88,20.4,6.99,6.99,,,
A158,11196255360278657,11/24/20,20002605,Q,1,A158,26.07,17.28,3.91,5.44,8.98,7.93,,,
A159,11426389663337034,11/29/20,20003016,O,1,A159,19.42,23.13,2.91,11.24,8.98,8.98,,,
A160,11343568428197831,11/29/20,20023714,L,12,A160,24.85,24.15,3.73,13.43,6.99,6.99,,,
A161,11320337843576245,11/30/20,20003092,Q,5,A161,13.44,10.43,1.08,2.85,8.98,6.5,,,
A162,11456226727161803,11/8/20,20016078,L,6,A162,16.31,21.62,2.45,12.18,6.99,6.99,,,
A163,11469884071648250,11/8/20,20016268,L,6,A163,16.31,21.62,2.45,12.18,6.99,6.99,,,
A164,11221982895268257,11/3/20,20014681,D,1,A164,15.75,64.96,2.36,4.6,58,58,,,
A165,11264387417045863,11/26/20,20022437,L,12,A165,24.85,24.15,3.73,13.43,6.99,6.99,,,
A166,11126076322940245,11/21/20,20019926,L,1,A166,50.4,47.98,7.56,35.67,4.75,4.75,,,
A167,11413556908192227,11/30/20,20024559,L,1,A167,50.64,48.02,7.6,35.67,4.75,4.75,,,
A168,11403259998745845,11/29/20,20023719,L,1,A168,50.44,47.99,7.57,35.67,4.75,4.75,,,
A169,11304437984009026,11/21/20,20019853,L,1,A169,50.95,48.06,7.64,35.67,4.75,4.75,,,
A170,11266330017400241,11/24/20,20021488,L,1,A170,50.4,47.98,7.56,35.67,4.75,4.75,,,
A171,11306623565629044,11/30/20,20024380,L,12,A171,24.85,24.15,3.73,13.43,6.99,6.99,,,
A172,11173567875984221,11/22/20,20020707,L,12,A172,22.17,22.49,3.33,12.17,6.99,6.99,,,
A173,11301183187020211,11/8/20,20016153,L,1,A173,47.96,47.61,7.19,35.67,4.75,4.75,,,
A174,11384484397011442,11/16/20,20018071,L,12,A174,22.29,22.52,3.34,13.43,5.75,5.75,,,
A175,11200779361082602,11/9/20,20016676,L,2,A175,95.92,91.47,14.38,71.34,5.75,5.75,,,
A176,11239725710693042,11/8/20,20016161,L,1,A176,47.96,47.61,7.19,35.67,4.75,4.75,,,
A177,11108724790140236,11/7/20,20015925,L,6,A177,16.31,21.62,2.45,12.18,6.99,6.99,,,
A178,11260993726170606,11/18/20,20020647,L,12,A178,22.9,22.6,3.44,12.17,6.99,6.99,,,
A179,11477500305703448,11/9/20,20016473,L,2,A179,95.92,91.47,14.38,71.34,5.75,5.75,,,
A180,11153565164498610,11/18/20,20019021,L,1,A180,50.11,47.94,7.52,35.67,4.75,4.75,,,
A181,11167695427174611,11/28/20,20023205,L,12,A181,24.85,24.15,3.73,13.43,6.99,6.99,,,
A182,11327335943613840,11/24/20,20021193,L,2,A182,100.8,92.21,15.12,71.34,5.75,5.75,,,
A183,11287744347013832,11/23/20,20020828,L,1,A183,50.4,47.98,7.56,35.67,4.75,4.75,,,
A184,11183806581413012,11/16/20,20018159,D,1,A184,15.98,65.52,2.4,4.6,58.52,58.52,,,
A185,11257399827672268,11/17/20,20018489,L,12,A185,60.3,61.03,9.05,42.48,9.5,9.5,,,
